Data,JzCode,FullName,TableColumns
jz_futures_tick_2020,JZ1000011,2020 期货tick数据,"Code,ContractCode,Exchange,ContractType,TradeDate,TradeTime,LevelType,LastPrice,LastVolume,OpenPrice,HighPrice,LowPrice,UpperLimitPrice,LowerLimitPrice,ClosePrice,PreClosePrice,Turnover,TradeNumber,OpenInterest,BidPrice1,BidVolume1,AskPrice1,AskVolume1,BidPrice2,BidVolume2,AskPrice2,AskVolume2,BidPrice3,BidVolume3,AskPrice3,AskVolume3,BidPrice4,BidVolume4,AskPrice4,AskVolume4,BidPrice5,BidVolume5,AskPrice5,AskVolume5,ClearingDay,TradeStatus,UpdateMilliSec"
jz_futures_tick_2021,JZ1000012,2021 期货tick数据,"Code,ContractCode,Exchange,ContractType,TradeDate,TradeTime,LevelType,LastPrice,LastVolume,OpenPrice,HighPrice,LowPrice,UpperLimitPrice,LowerLimitPrice,ClosePrice,PreClosePrice,Turnover,TradeNumber,OpenInterest,BidPrice1,BidVolume1,AskPrice1,AskVolume1,BidPrice2,BidVolume2,AskPrice2,AskVolume2,BidPrice3,BidVolume3,AskPrice3,AskVolume3,BidPrice4,BidVolume4,AskPrice4,AskVolume4,BidPrice5,BidVolume5,AskPrice5,AskVolume5,ClearingDay,TradeStatus,UpdateMilliSec"
jz_futures_tick_2022,JZ1000013,2022 期货tick数据,"Code,ContractCode,Exchange,ContractType,TradeDate,TradeTime,LevelType,LastPrice,LastVolume,OpenPrice,HighPrice,LowPrice,UpperLimitPrice,LowerLimitPrice,ClosePrice,PreClosePrice,Turnover,TradeNumber,OpenInterest,BidPrice1,BidVolume1,AskPrice1,AskVolume1,BidPrice2,BidVolume2,AskPrice2,AskVolume2,BidPrice3,BidVolume3,AskPrice3,AskVolume3,BidPrice4,BidVolume4,AskPrice4,AskVolume4,BidPrice5,BidVolume5,AskPrice5,AskVolume5,ClearingDay,TradeStatus,UpdateMilliSec"
jz_futures_daily_2010,JZ2000001,2010 期货日数据,"Code,Exchange,TradeDate,OpenPrice,HighPrice,LowPrice,ClosePrice,TradeVolume,OpenInterest,Turnover,SettlePrice,PreSettlePrice,Product"
jz_futures_daily_2011,JZ2000002,2011 期货日数据,"Code,Exchange,TradeDate,OpenPrice,HighPrice,LowPrice,ClosePrice,TradeVolume,OpenInterest,Turnover,SettlePrice,PreSettlePrice,Product"
jz_futures_daily_2012,JZ2000003,2012 期货日数据,"Code,Exchange,TradeDate,OpenPrice,HighPrice,LowPrice,ClosePrice,TradeVolume,OpenInterest,Turnover,SettlePrice,PreSettlePrice,Product"
jz_futures_daily_2013,JZ2000004,2013 期货日数据,"Code,Exchange,TradeDate,OpenPrice,HighPrice,LowPrice,ClosePrice,TradeVolume,OpenInterest,Turnover,SettlePrice,PreSettlePrice,Product"
jz_futures_daily_2014,JZ2000005,2014 期货日数据,"Code,Exchange,TradeDate,OpenPrice,HighPrice,LowPrice,ClosePrice,TradeVolume,OpenInterest,Turnover,SettlePrice,PreSettlePrice,Product"
jz_futures_daily_2015,JZ2000006,2015 期货日数据,"Code,Exchange,TradeDate,OpenPrice,HighPrice,LowPrice,ClosePrice,TradeVolume,OpenInterest,Turnover,SettlePrice,PreSettlePrice,Product"
jz_futures_daily_2016,JZ2000007,2016 期货日数据,"Code,Exchange,TradeDate,OpenPrice,HighPrice,LowPrice,ClosePrice,TradeVolume,OpenInterest,Turnover,SettlePrice,PreSettlePrice,Product"
